State,Age Group,Sector,Gender,Indicator,Value
All India,18 years and above,Urban,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,83.7
Andaman & Nicobar Islands,15 years and above,All,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,92.3
Andaman & Nicobar Islands,15 years and above,All,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,77.6
Andaman & Nicobar Islands,15 years and above,All,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,85.2
Andaman & Nicobar Islands,15 years and above,Rural,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,89.8
Andaman & Nicobar Islands,15 years and above,Rural,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,72.6
Andaman & Nicobar Islands,15 years and above,Rural,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,81.8
Andaman & Nicobar Islands,15 years and above,Urban,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,96.3
Andaman & Nicobar Islands,15 years and above,Urban,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,84.6
Andaman & Nicobar Islands,15 years and above,Urban,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,90.4
Andaman & Nicobar Islands,18 years and above,All,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,93.8
Andaman & Nicobar Islands,18 years and above,All,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,79.6
Andaman & Nicobar Islands,18 years and above,All,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,87
Andaman & Nicobar Islands,18 years and above,Rural,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,91.4
Andaman & Nicobar Islands,18 years and above,Rural,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,74.2
Andaman & Nicobar Islands,18 years and above,Rural,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,83.4
Andaman & Nicobar Islands,18 years and above,Urban,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,97.7
Andaman & Nicobar Islands,18 years and above,Urban,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,87.2
Andaman & Nicobar Islands,18 years and above,Urban,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,92.5
Andhra Pradesh,15 years and above,All,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,87.3
Andhra Pradesh,15 years and above,All,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,65.2
Andhra Pradesh,15 years and above,All,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,76
Andhra Pradesh,15 years and above,Rural,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,85.5
Andhra Pradesh,15 years and above,Rural,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,60.8
Andhra Pradesh,15 years and above,Rural,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,73
Andhra Pradesh,15 years and above,Urban,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,91.3
Andhra Pradesh,15 years and above,Urban,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,74.9
Andhra Pradesh,15 years and above,Urban,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,82.9
Andhra Pradesh,18 years and above,All,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,90
Andhra Pradesh,18 years and above,All,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,66.2
Andhra Pradesh,18 years and above,All,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,77.8
Andhra Pradesh,18 years and above,Rural,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,88.1
Andhra Pradesh,18 years and above,Rural,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,61.5
Andhra Pradesh,18 years and above,Rural,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,74.5
Andhra Pradesh,18 years and above,Urban,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,94.3
Andhra Pradesh,18 years and above,Urban,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,76.6
Andhra Pradesh,18 years and above,Urban,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,85.1
Arunachal Pradesh,15 years and above,All,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,82.7
Arunachal Pradesh,15 years and above,All,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,75.1
Arunachal Pradesh,15 years and above,All,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,79
Arunachal Pradesh,15 years and above,Rural,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,79.8
Arunachal Pradesh,15 years and above,Rural,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,71.4
Arunachal Pradesh,15 years and above,Rural,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,75.8
Arunachal Pradesh,15 years and above,Urban,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,95.7
Arunachal Pradesh,15 years and above,Urban,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,91.5
Arunachal Pradesh,15 years and above,Urban,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,93.7
Arunachal Pradesh,18 years and above,All,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,84.5
Arunachal Pradesh,18 years and above,All,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,75.9
Arunachal Pradesh,18 years and above,All,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,80.3
Arunachal Pradesh,18 years and above,Rural,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,81.6
Arunachal Pradesh,18 years and above,Rural,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,72.1
Arunachal Pradesh,18 years and above,Rural,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,77
Arunachal Pradesh,18 years and above,Urban,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,97.3
Arunachal Pradesh,18 years and above,Urban,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,93.4
Arunachal Pradesh,18 years and above,Urban,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,95.4
Assam,15 years and above,All,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,78
Assam,15 years and above,All,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,51.2
Assam,15 years and above,All,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,64.7
Assam,15 years and above,Rural,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,76.3
Assam,15 years and above,Rural,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,48.3
Assam,15 years and above,Rural,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,62.5
Assam,15 years and above,Urban,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,90.1
Assam,15 years and above,Urban,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,73.8
Assam,15 years and above,Urban,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,82.2
Assam,18 years and above,All,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,80.8
Assam,18 years and above,All,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,52.3
Assam,18 years and above,All,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,66.7
Assam,18 years and above,Rural,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,79.3
Assam,18 years and above,Rural,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,49.4
Assam,18 years and above,Rural,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,64.5
Assam,18 years and above,Urban,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,91.8
Assam,18 years and above,Urban,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,75.2
Assam,18 years and above,Urban,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,83.7
Bihar,15 years and above,All,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,78.6
Bihar,15 years and above,All,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,50
Bihar,15 years and above,All,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,65
Bihar,15 years and above,Rural,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,77.9
Bihar,15 years and above,Rural,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,49.2
Bihar,15 years and above,Rural,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,64.3
Bihar,15 years and above,Urban,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,84.3
Bihar,15 years and above,Urban,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,56.6
Bihar,15 years and above,Urban,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,71.2
Bihar,18 years and above,All,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,83
Bihar,18 years and above,All,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,52.3
Bihar,18 years and above,All,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,68.3
Bihar,18 years and above,Rural,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,82.3
Bihar,18 years and above,Rural,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,51.5
Bihar,18 years and above,Rural,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,67.6
Bihar,18 years and above,Urban,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,88.3
Bihar,18 years and above,Urban,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,59.6
Bihar,18 years and above,Urban,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,74.9
Chandigarh,15 years and above,All,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,90.2
Chandigarh,15 years and above,All,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,84.2
Chandigarh,15 years and above,All,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,87.2
Chandigarh,15 years and above,Rural,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,91.6
Chandigarh,15 years and above,Rural,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,77.2
Chandigarh,15 years and above,Rural,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,84.8
Chandigarh,15 years and above,Urban,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,90.2
Chandigarh,15 years and above,Urban,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,84.5
Chandigarh,15 years and above,Urban,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,87.3
Chandigarh,18 years and above,All,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,97.1
Chandigarh,18 years and above,All,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,88.2
Chandigarh,18 years and above,All,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,92.5
Chandigarh,18 years and above,Rural,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,93.7
Chandigarh,18 years and above,Rural,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,81.5
Chandigarh,18 years and above,Rural,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,87.8
Chandigarh,18 years and above,Urban,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,97.3
Chandigarh,18 years and above,Urban,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,88.5
Chandigarh,18 years and above,Urban,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,92.7
Chhattisgarh,15 years and above,All,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,72
Chhattisgarh,15 years and above,All,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,33.8
Chhattisgarh,15 years and above,All,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,53.2
Chhattisgarh,15 years and above,Rural,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,68.7
Chhattisgarh,15 years and above,Rural,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,26.5
Chhattisgarh,15 years and above,Rural,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,47.9
Chhattisgarh,15 years and above,Urban,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,82.5
Chhattisgarh,15 years and above,Urban,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,56.7
Chhattisgarh,15 years and above,Urban,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,69.8
Chhattisgarh,18 years and above,All,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,76.2
Chhattisgarh,18 years and above,All,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,35.1
Chhattisgarh,18 years and above,All,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,55.8
Chhattisgarh,18 years and above,Rural,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,72.8
Chhattisgarh,18 years and above,Rural,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,27.1
Chhattisgarh,18 years and above,Rural,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,50.1
Chhattisgarh,18 years and above,Urban,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,86.5
Chhattisgarh,18 years and above,Urban,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,60.2
Chhattisgarh,18 years and above,Urban,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,73.6
Dadra & Nagar Haveli and Daman & Diu,15 years and above,All,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,91.2
Dadra & Nagar Haveli and Daman & Diu,15 years and above,All,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,76.5
Dadra & Nagar Haveli and Daman & Diu,15 years and above,All,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,84.9
Dadra & Nagar Haveli and Daman & Diu,15 years and above,Rural,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,85.6
Dadra & Nagar Haveli and Daman & Diu,15 years and above,Rural,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,67.1
Dadra & Nagar Haveli and Daman & Diu,15 years and above,Rural,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,77
Dadra & Nagar Haveli and Daman & Diu,15 years and above,Urban,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,95.2
Dadra & Nagar Haveli and Daman & Diu,15 years and above,Urban,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,85.4
Dadra & Nagar Haveli and Daman & Diu,15 years and above,Urban,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,91.3
Dadra & Nagar Haveli and Daman & Diu,18 years and above,All,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,93.6
Dadra & Nagar Haveli and Daman & Diu,18 years and above,All,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,79
Dadra & Nagar Haveli and Daman & Diu,18 years and above,All,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,87.4
Dadra & Nagar Haveli and Daman & Diu,18 years and above,Rural,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,87.8
Dadra & Nagar Haveli and Daman & Diu,18 years and above,Rural,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,70.1
Dadra & Nagar Haveli and Daman & Diu,18 years and above,Rural,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,79.6
Dadra & Nagar Haveli and Daman & Diu,18 years and above,Urban,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,97.6
Dadra & Nagar Haveli and Daman & Diu,18 years and above,Urban,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,87
Dadra & Nagar Haveli and Daman & Diu,18 years and above,Urban,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,93.4
Delhi,15 years and above,All,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,92.1
Delhi,15 years and above,All,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,76.1
Delhi,15 years and above,All,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,84.6
Delhi,15 years and above,Rural,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,94.3
Delhi,15 years and above,Rural,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,75.4
Delhi,15 years and above,Rural,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,85.4
Delhi,15 years and above,Urban,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,92.1
Delhi,15 years and above,Urban,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,76.1
Delhi,15 years and above,Urban,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,84.6
Delhi,18 years and above,All,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,95.1
Delhi,18 years and above,All,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,77.7
Delhi,18 years and above,All,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,87
Delhi,18 years and above,Rural,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,96.2
Delhi,18 years and above,Rural,Female,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,77
Delhi,18 years and above,Rural,Person,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,87
Delhi,18 years and above,Urban,Male,Percentage of Persons Who Used Mobile Telephone with Active Sim Card at Least Once During Last Three Months Preceding the Date of the Survey,95.1
